context,from,to,weight
time-to-talk-day-2018,ot4me123,BillWongOT,2
no-smoking-day-2018,cpftnhs,myvisionmatters,2
dementia-action-week-2018,nuclearpolice,CNCHinkleyPoint,2
national-dementia-carers-2018,allisondetoni,alzheimerssoc,2
time-to-talk-day-2018,novstormbringer,The_UnSilent_,2
no-smoking-day-2018,parisofprairies,charlieclarkyxe,1
elf-day,wjaldiss,AlzSocEAnglia,1
dementia-action-week-2018,fionnualasavage,JacquelineRoone,2
eating-disorder-awareness-week-2018,katiemckinney09,positivelyIaura,1
ocd-awareness-week-2018,rachel__kay__22,lwbean,2
jeans-for-genes-day,guccishouis,JeansforGenes,1
jeans-for-genes-day,alanabid,Lina_Abdulkarim,2
cervical-cancer-prevention-week-2018,p4_project,P4_Project,1
dry-january-2018,chigobigoo,SeedlipDrinks,1
stress-awareness-day,buielindaa,TerriIrwin,2
dry-january-2018,toffeepiglet,SeedlipDrinks,1
elf-day,icaregroup,alzheimerssoc,1
cervical-cancer-prevention-week-2018,christinacjh69,rdash_nhs,2
time-to-talk-day-2018,letsbroverwatch,JonnyGabriel,1
elf-day,alzsocseengland,NJCHUK,2
eating-disorder-awareness-week-2018,hopevirgo,AlexCarlingTTS,2
time-to-talk-day-2018,clintfandango,FreshPlusGroup,2
jeans-for-genes-day,bizforyourself,wrigleyclaydon,2
epilepsy-awareness-purple-day-2018,easht_naplescsd,rslade80,2
time-to-talk-day-2018,clarisssssse,bbc5live,1
carers-week-2018,joycemisoi1,BACP,2
jeans-for-genes-day,harrysmedicin_e,MrsAnneTwist,2
brain-injury-week-2018,peterrobinson86,cbituk,3
eating-disorder-awareness-week-2018,va_stanton,TheProjectHEAL,1
nutrition-and-hydration-week-2018,walsalllibdems,WalsallCCG,2
eating-disorder-awareness-week-2018,heatherbowes7,tc187,2
brain-injury-week-2018,stevedavid845,SolicitorsLLP,1
nutrition-and-hydration-week-2018,marialeveridge,RCHTWeCare,1
stress-awareness-day,abbyhartman,ThinkLikeaCat,2
mental-health-awareness-week-2018,stevenmaxson,annavkent,2
national-dyslexia-week-2018,debmcm1989,Jisc,2
brain-injury-week-2018,nwabimanchester,PMneurophysio,2
cervical-cancer-prevention-week-2018,monitor_ph,CDC_Cancer,2
eating-disorder-awareness-week-2018,scissorsyndrome,lilyjoproject,1
16-days-of-action-2018,for_initiative,CFundAdvocates,2
eating-disorder-awareness-week-2018,alexcarlingtts,aneartohearhlb,1
ocd-awareness-week-2018,yomna_gabry,lwbean,2
national-dyslexia-week-2018,larry_turner,NellAndrewLDN,2
jeans-for-genes-day,xharrysangelsx,MrsAnneTwist,2
16-days-of-action-2018,melbournegirl,WHVictoria,2
dementia-action-week-2018,cnchinkleypoint,nuclearpolice,1
dementia-action-week-2018,theprdoctoruk,LloydsPharmacy,1
brain-injury-week-2018,cumbrianeuro,PbrownNeuro,2
wear-purple-for-jia-2018,irongirl_1804,Ed_Miliband,2
mental-health-awareness-week-2018,coolmentoring,ncdhhs,1
epilepsy-awareness-purple-day-2018,292kmartin1,cavs,2
wear-purple-for-jia-2018,liscordingley,CapsieNair,6
jeans-for-genes-day,bakedsue,JeansforGenes,1
nutrition-and-hydration-week-2018,stmaryscoaching,_UKCoaching,2
mnd-awareness-month-2018,qsprivatehealth,DrNikSharma,2
ovarian-cancer-awareness-month-2018,saffiepom92,NHSEngland,2
jeans-for-genes-day,bmymstake,MrsAnneTwist,2
ovarian-cancer-awareness-month-2018,justsewhelen,JustSewHelen,2
16-days-of-action-2018,oscar_adria,theCFCR,6
dementia-action-week-2018,mason4233,myhomelifecymru,1
experience-of-care-week-2018,retireathomebg,susanwoolner,2
dry-january-2018,highlandgirl,DrinkTg,2
brain-injury-week-2018,nwabimanchester,HeadwayUK,1
rare-disease-day-2018,nataliejharp,NatalieJHarp,2
brain-injury-week-2018,westernhsctrust,cedarfoundation,2
cervical-cancer-prevention-week-2018,radpirate03,DorsetCCG,2
national-dyslexia-week-2018,carriemaisie,Cambridge_DRC,2
rare-disease-day-2018,passitonparents,SWAN_UK,3
epilepsy-awareness-purple-day-2018,mcauliffees,astro_ricky,2
brain-injury-week-2018,acrt_homerton,HeadwayUK,2
dementia-action-week-2018,dianefuller001,TheMemoryBP,2
rare-disease-day-2018,garvaninstitute,genome,1
brain-awareness-week-2018,healthtechhtc,simisara980,1
elf-day,nitu_23,nickjonas,1
16-days-of-action-2018,pam_ch7,TaranaBurke,1
wear-purple-for-jia-2018,g1magee,RheumatologyUK,2
nutrition-and-hydration-week-2018,lynnebrookes4,NHWeek,1
mens-health-week-2018,roscounselling,MensSpace,2
ocd-awareness-week-2018,beschmeelzebub,lwbean,2
ocd-awareness-week-2018,rapidthenerd,lwbean,2
eating-disorder-awareness-week-2018,headstartkernow,beatED,1
brain-awareness-week-2018,elizabeth_model,RcnDarcy,1
brain-injury-week-2018,anson_mackay,cbituk,1
national-dementia-carers-2018,jenniej95408140,alzheimerssoc,2
wear-purple-for-jia-2018,jenniej95408140,JIA_NRAS,13
16-days-of-action-2018,rachelnsexton,UN_Women,2
brain-injury-week-2018,westernhsctrust,WesternHSCTrust,1
experience-of-care-week-2018,theoremlean,PressGaney,3
mental-health-awareness-week-2018,patriciasinglet,AlyseTobler,2
cervical-cancer-prevention-week-2018,dennisrelojo,psychreg,2
16-days-of-action-2018,leonie09084311,CountDeadWomen,1
brain-awareness-week-2018,momily1977,MichaelJFoxOrg,2
jeans-for-genes-day,sasafofa5,JeansforGenes,1
national-dementia-carers-2018,moonshadow1900,emmabraz01,2
dry-january-2018,andy_dugmore,CR_UK,1
brain-injury-week-2018,shrewsmorris,HeadwayUK,1
mental-health-awareness-week-2018,jlp131,paulapeters2,1
wear-purple-for-jia-2018,janradovic,Ed_Miliband,2
mnd-awareness-month-2018,sproz21,MNDeventsPlym,2
mens-health-week-2018,22untilnone,afterdeployment,2
national-dyslexia-week-2018,tiassl,tes,3
mnd-awareness-month-2018,bridgetcuddihy,NickGoldup1,2
jeans-for-genes-day,09hannahsmummy,CerebraCentre,3
mens-health-week-2018,ipadzorz,killianbyrne,2
brain-awareness-week-2018,guidegti,NIDAnews,2
dementia-action-week-2018,slbaldry,MuziekGeluk,1
time-to-talk-day-2018,wakeuptosuicide,mitch19682011,1
no-smoking-day-2018,gowertan,ASH_LDN,2
rare-disease-day-2018,weralldisabled,RareDiseases,2
wear-purple-for-jia-2018,welly564,JIA_Matters,1
brain-injury-week-2018,headwaydevon,HeadwayDevon,2
16-days-of-action-2018,cllrpayne,CambsCops,2
no-smoking-day-2018,healthybanes,RUHBath,2
16-days-of-action-2018,aislingswaine,DrCORourke,2
carers-week-2018,gerardwoodhous1,LivCarersCentre,1
dementia-action-week-2018,ronaldamanze,bethyb1886,2
elf-day,sejenks,alzheimerssoc,1
wear-purple-for-jia-2018,babbalingblonde,Bexily,2
jeans-for-genes-day,hstudyrainbowsx,MrsAnneTwist,2
dry-january-2018,chesterhour,chesterdotcom,2
national-dementia-carers-2018,richardwebbny,srccg,2
epilepsy-awareness-purple-day-2018,maca_bejarano10,gblagden,2
nutrition-and-hydration-week-2018,mynameisandyj,platinum_cares,2
experience-of-care-week-2018,nicola_mcminn,clairejukesy,1
cervical-cancer-prevention-week-2018,jesslewis85,MrsPandP,2
cervical-cancer-prevention-week-2018,samyarwood89,samyarwood89,2
dementia-action-week-2018,slbaldry,gbtpo,2
national-dyslexia-week-2018,shaps_b,alistairm,1
eating-disorder-awareness-week-2018,cazzacookie68,YoungMindsUK,2
mnd-awareness-month-2018,pictaview,TVVictoriaG,1
eating-disorder-awareness-week-2018,takeaction_2015,NSPCC,2
brain-injury-week-2018,bsuhsimulation,NeuroBSUH,2
jeans-for-genes-day,susanellis100,laurawarren__,1
epilepsy-awareness-purple-day-2018,diannemariebat2,MichaelFitzOCSB,1
mental-health-awareness-week-2018,gagacont,heads_together,1
eating-disorder-awareness-week-2018,fuedgameon,tc187,2
elf-day,nitu_23,priyankachopra,1
mens-health-week-2018,mehr1amritsar,SamaritansIRL,2
mens-health-week-2018,relayadaircomo,AmericanCancer,2
jeans-for-genes-day,bostonhrry,GemmaAnneStyles,1
16-days-of-action-2018,becauseimamanzw,UNICEFZIMBABWE,2
eating-disorder-awareness-week-2018,schuuule,DrEMcNaught,2
nutrition-and-hydration-week-2018,mynameisandyj,CatherineSilco1,2
eating-disorder-awareness-week-2018,premierscfc,DSUtweets,2
cervical-cancer-prevention-week-2018,bcmcancer,CPRITTexas,1
elf-day,eternalspline,VJLoops,2
mental-health-awareness-week-2018,bartandrews,MDSantopietro,1
national-dyslexia-week-2018,nessylearning,BDAdyslexia,1
dry-january-2018,ryanelliott1701,31DOVER,2
stress-awareness-day,mrsvcastle,nhsemployers,2
eating-disorder-awareness-week-2018,allm14891126,beatED,1
wear-purple-for-jia-2018,jia_matters,walloyd,2
elf-day,alzsocnwengland,Flaketweet,2
brain-awareness-week-2018,mason4233,createdhub,2
epilepsy-awareness-purple-day-2018,bcplace,BCEpilepsy,1
epilepsy-awareness-purple-day-2018,mbepilepsy,DunbrodyShip,1
dementia-action-week-2018,oldhamlawassoc,NorthAinley,2
jeans-for-genes-day,celerystickkk,MrsAnneTwist,2
nutrition-and-hydration-week-2018,mynameisandyj,WSBHospices,1
brain-injury-week-2018,olivermitchard,HeadwayBristol,2
nutrition-and-hydration-week-2018,davies74e,richtrish54,1
epilepsy-awareness-purple-day-2018,ccdacre,BCLegislature,2
elf-day,northridingfa,AlzSocYorkshire,1
brain-injury-week-2018,seamussaid,Issa_Blom,1
epilepsy-awareness-purple-day-2018,auxjkwok,ZenCopTPS,1
national-dementia-carers-2018,purehomecare,alzheimerssoc,2
nutrition-and-hydration-week-2018,mynameisandyj,GracewellHealth,1
dementia-action-week-2018,penn_memory,GoldmanSachs,2
experience-of-care-week-2018,dr_whomever,uicfmr,2
eating-disorder-awareness-week-2018,heartsetonlivin,mentalbattle,2
ovarian-cancer-awareness-month-2018,healingmb,BethFratesMD,2
16-days-of-action-2018,neegurapmusic,Doyna_sn,2
elf-day,cccopticians,TheOaks28,2
mnd-awareness-month-2018,alsassistivetec,mndassoc,1
rare-disease-day-2018,maxinepatterson,RonnyAllan1,6
national-dementia-carers-2018,lanchestervill,alzheimerssoc,2
mnd-awareness-month-2018,laurapye,BBCSpotlight,1
rare-disease-day-2018,philipwills0221,rarediseaseday,2
mental-health-awareness-week-2018,1of2vics,BebeNC,4
stress-awareness-day,bananatag,IoICNews,2
rare-disease-day-2018,jecallender,savvy_coop,2
stress-awareness-day,heysresumes,NHSuk,2
brain-awareness-week-2018,fabstacie,FirstFiveNebr,2
16-days-of-action-2018,for_initiative,GirlsNotBrides,1
dry-january-2018,shell7619,31DOVER,2
dry-january-2018,jadeashleighbel,EastEnglandAmb,2
stress-awareness-day,followourpath,NordoffRobbins1,2
elf-day,cumbriasellseek,NHSCumbriaCCG,2
nutrition-and-hydration-week-2018,cwmtafpodiatry,CwmTaf,1
carers-week-2018,fiona_fionnagal,scotgov,1
16-days-of-action-2018,umbrios,womensart1,2
eating-disorder-awareness-week-2018,alwayskimster,beatED,2
16-days-of-action-2018,sdinnovation,defyhatenow,1
eating-disorder-awareness-week-2018,rmorley74,happifulhq,2
carers-week-2018,mansfield70,RHSBridgewater,1
jeans-for-genes-day,susanellis100,RachThomasLegal,4
eating-disorder-awareness-week-2018,lizmonaghan5,YoungMindsUK,2
mnd-awareness-month-2018,jaynes__world,MNDAEastSussex,2
16-days-of-action-2018,leolibrarian,EmmaReadyBgirl,2
jeans-for-genes-day,ro_came_2_play,JeansforGenes,1
time-to-talk-day-2018,pitcher_lise,SterlingJoy94,2
jeans-for-genes-day,deirdredonova12,JeansforGenes,1
16-days-of-action-2018,ffcjohnh,Tearfund,2
eating-disorder-awareness-week-2018,dora959,nchawkes,2
elf-day,j0dean,alzheimerssoc,1
wear-purple-for-jia-2018,jia_nras,hharrison100,2
cervical-cancer-prevention-week-2018,acs_illinois,AmericanCancer,1
national-dementia-carers-2018,lpapillons,CareQualityComm,2
mnd-awareness-month-2018,doloresdoolittl,Helping_HandsUK,2
epilepsy-awareness-purple-day-2018,ashleighchandra,GregHuntMP,1
mens-health-week-2018,orchard363,lustforlife,1
jeans-for-genes-day,talyy1991zm1d,JeansforGenes,1
mnd-awareness-month-2018,mndcampaigns,katielouhull,2
mnd-awareness-month-2018,alexhynes,ScotRail,1
carers-week-2018,benjaminpmoore,benjaminpmoore,2
ovarian-cancer-awareness-month-2018,andrew_salzzz,BethFratesMD,2
experience-of-care-week-2018,helenkaragio,LeanneWells63,2
brain-awareness-week-2018,anafloriani69,MercuryMOTG,1
elf-day,fifthdumbledore,PCsDRAG0N,2
jeans-for-genes-day,liammogz,nickymcdonald1,2
dry-january-2018,charlottea_pr,zoedarehall,1
mental-health-awareness-week-2018,adeleke_agoro,SteliosKiosses,2
16-days-of-action-2018,irenedavenezia1,KentPage,2
eating-disorder-awareness-week-2018,justjen1915,jamesldowns,2
rare-disease-day-2018,dlv123061,KidneyPatients,4
national-dyslexia-week-2018,connieinman,BarringtonStoke,1
mental-health-awareness-week-2018,lionman47,MsMollyRachael,1
no-smoking-day-2018,gemstaffnurse,CDDFTNHS,2
carers-week-2018,suedewhirst1,ElaineRashbrook,1
carers-week-2018,gallusgirl,lisaj_uk,2
stress-awareness-day,c_hadz30,_ukactive,2
dry-january-2018,missrebel13,SeedlipDrinks,1
no-smoking-day-2018,gresportsandrec,HOSGreenwich,2
jeans-for-genes-day,igm_ncl,jwmdrc,2
wear-purple-for-jia-2018,mredwardsfehs,FramDSL,1
brain-awareness-week-2018,elizabeth_model,healthtechdist,2
eating-disorder-awareness-week-2018,chriswright46,fccwsurvivor,2
brain-injury-week-2018,emmadon01,encephalitis,2
wear-purple-for-jia-2018,penny_thompson,Ed_Miliband,2
experience-of-care-week-2018,winslow_mark,TerriSonger,8
nutrition-and-hydration-week-2018,jo_williams80,jo_williams80,1
elf-day,hill_care_,alzheimerssoc,3
nutrition-and-hydration-week-2018,janehslm,NHWeek,1
mnd-awareness-month-2018,mndscotland,ScotRail,1
carers-week-2018,mynameisandyj,CarersUK,1
ovarian-cancer-awareness-month-2018,kristatonn,WilliamdeVry1,1
mens-health-week-2018,swaggerscanmia,CDCSTD,2
brain-injury-week-2018,hatchbrenner,HatchBrenner,1
wear-purple-for-jia-2018,drbeth_,RheumatologyUK,2
ovarian-cancer-awareness-month-2018,linda_11_s,FelicityBarrTV,2
jeans-for-genes-day,javaadplslove,MrsAnneTwist,2
ocd-awareness-week-2018,jackiekaylee,PositivePage_,2
eating-disorder-awareness-week-2018,heartsetonlivin,KittyCormack,2
rare-disease-day-2018,kovandal,AstellasUS,2
brain-awareness-week-2018,fdecastros,Neurotweeps,2
stress-awareness-day,fuzzydacious,NICEcomms,1
ocd-awareness-week-2018,grimebones,lwbean,2
experience-of-care-week-2018,jasonawolf,NSWCEC,2
ovarian-cancer-awareness-month-2018,dad2alys,VelindreCC,1
cervical-cancer-prevention-week-2018,drtessthompson,SitemanCenter,2
elf-day,wjaldiss,EDP24,1
brain-injury-week-2018,bodagallon,PotterReesDolan,1
nutrition-and-hydration-week-2018,mynameisandyj,Joannegough6,2
mens-health-week-2018,mond7222,mhall55nine,2
wear-purple-for-jia-2018,mrobson8,Ed_Miliband,2
eating-disorder-awareness-week-2018,thewitt44,clrgeorgiapower,1
jeans-for-genes-day,marybff1ortiz,MrsAnneTwist,2
16-days-of-action-2018,tallgrey,UN_Women,2
dry-january-2018,cakereev,SeedlipDrinks,1
brain-awareness-week-2018,joanstrassmann,UUtah,1
ocd-awareness-week-2018,irinahuang22,MicrobiomDigest,1
dry-january-2018,missrebel13,31DOVER,2
stress-awareness-day,altkocoach,Pinkribbonmark2,2
nutrition-and-hydration-week-2018,mynameisandyj,sarah_janemad,2
wear-purple-for-jia-2018,mredwardsfehs,JIA_NRAS,1
no-smoking-day-2018,promoforce1,ContempraINN,2
elf-day,oldhollyfarm,Flaketweet,2
eating-disorder-awareness-week-2018,gemmyred,MQmentalhealth,1
elf-day,priyankac_fan0,PCsDRAG0N,2
16-days-of-action-2018,tracieedward,ETFOeducators,2
time-to-talk-day-2018,clarisssssse,djetuah,2
16-days-of-action-2018,lexieisfree,SheroesForum,1
elf-day,cberrl,rickhopkins83,2
dementia-action-week-2018,cornexchange,CornExchange,1
jeans-for-genes-day,ambitioust2428,GeneticDisUK,2
jeans-for-genes-day,emspicks,JeansforGenes,1
carers-week-2018,shoolyboo,scotgov,1
rare-disease-day-2018,643peralta,NoInvisibles,2
mental-health-awareness-week-2018,viramruben,MindCharity,1
elf-day,simm_anthon,AnfieldRoadY4,2
dementia-action-week-2018,tommytommytee18,suzysopenheart,1
time-to-talk-day-2018,faithngd,pitcher_lise,2
eating-disorder-awareness-week-2018,dora959,beatED,1
brain-awareness-week-2018,nataliedrury2,mssocietyuk,2
dementia-action-week-2018,daviddrplymouth,DesignRealityUK,2
epilepsy-awareness-purple-day-2018,cathyspartanj,RealMAGASteve,1
dementia-action-week-2018,mason4233,mason4233,1
jeans-for-genes-day,amusedann,MrsAnneTwist,2
jeans-for-genes-day,wilderbeestgnu,Leightons_1928,2
jeans-for-genes-day,carmelcmclarnon,NISRA,2
brain-injury-week-2018,pauljsankey,ClaireStoneman,1
brain-awareness-week-2018,leolibrarian,GuerillaScience,2
brain-injury-week-2018,travelinjurylaw,HeadwayESussex,1
no-smoking-day-2018,alliebirchrd,setrust,1
no-smoking-day-2018,schypnotherapy,UK_Hypnotherapy,2
epilepsy-awareness-purple-day-2018,samehserry20,PedsEpilepsyDoc,2
time-to-talk-day-2018,amycotter99,Zoella,1
mens-health-week-2018,gumpert_2012,mhall55nine,2
carers-week-2018,tonymitch99,carersweek,1
mental-health-awareness-week-2018,80spakiprincess,comicrelief,2
carers-week-2018,frankanderrol,KirkandBert,2
nutrition-and-hydration-week-2018,sianmorganb,DrEleni,2
ovarian-cancer-awareness-month-2018,swbccg,SWBCCG,2
brain-awareness-week-2018,lateralmag,Educated_Change,2
elf-day,canfordhealth,alzheimerssoc,1
experience-of-care-week-2018,christajcampo,TerriSonger,2
jeans-for-genes-day,laizemelo1d,MrsAnneTwist,2
elf-day,cutepcmaniac,PCsDRAG0N,2
no-smoking-day-2018,parisofprairies,MayorFougere,1
cervical-cancer-prevention-week-2018,huntsmancancer,SaludAmerica,5
mens-health-week-2018,nataliembarker,YoungMindsUK,2
wear-purple-for-jia-2018,liscordingley,UoMMskResearch,1
rare-disease-day-2018,jwlawson57,JayRuderman,2
brain-awareness-week-2018,awilkie72,NeuroAlliance,2
jeans-for-genes-day,pigscanflybaby,MrsAnneTwist,2
carers-week-2018,angelina_smurph,NHSEngland,1
elf-day,leeleerawlings,AWPNHS,2
16-days-of-action-2018,animaljoybiz,DogsTrust,2
wear-purple-for-jia-2018,wkcookeryschool,CapsieNair,2
no-smoking-day-2018,hildapalmer,UNISON_HS,2
wear-purple-for-jia-2018,ruthwyllie1,CCAA_org,1
elf-day,pcspepperoni,priyankachopra,1
brain-injury-week-2018,lblawpi,HeadwayUK,2
mens-health-week-2018,t_mj_b,Wellbeing_Suff,2
dry-january-2018,kimberleyshowe1,31DOVER,1
dementia-action-week-2018,vera_harle,AvrilChaffeyPR,2
brain-injury-week-2018,drpas84ele,cbituk,1
jeans-for-genes-day,larryisobvioush,MrsAnneTwist,2
no-smoking-day-2018,ppsswebsite1,ncnhswellbeing,1
dry-january-2018,donna_46,SeedlipDrinks,1
brain-injury-week-2018,atttweet,DaDaFest,1
experience-of-care-week-2018,figueroawu_ff,EvelynFigs,1
carers-week-2018,carer49,HappyLittleHugh,2
mens-health-week-2018,maxsernamx,Herbalife24,2
ovarian-cancer-awareness-month-2018,verucor,Alex_wilcox8,1
carers-week-2018,benjaminpmoore,carersweek,1
dementia-action-week-2018,southendfun,SouthendBC,1
stress-awareness-day,suor_gersomina,DonkeySanctuary,2
wear-purple-for-jia-2018,howatsteve,harryt68,2
jeans-for-genes-day,directiioner94,JeansforGenes,1
stress-awareness-day,jinty85,Edu_Broker,2
carers-week-2018,ljjackson_1,HajBrum,2
mnd-awareness-month-2018,melli_louise,Vicky_100K4MNDA,2
rare-disease-day-2018,boltgrrl,gracescience,1
mnd-awareness-month-2018,bombshells202a,MNDeventsPlym,4
eating-disorder-awareness-week-2018,bechdeltheatre,StegosaurusPlay,2
brain-injury-week-2018,cumbrianeuro,HeadwayUK,1
elf-day,nhshullccg,NHSHullCCG,1
jeans-for-genes-day,cristhel_monet,JeansforGenes,1
eating-disorder-awareness-week-2018,drwrjones,beatED,1
ocd-awareness-week-2018,lizziecharlton,lwbean,2
wear-purple-for-jia-2018,anwar_rashad,Ed_Miliband,2
jeans-for-genes-day,catavargas_5,JeansforGenes,1
carers-week-2018,auty_but_nice,HappyLittleHugh,2
carers-week-2018,gerardwoodhous1,MyTime_LS,1
mnd-awareness-month-2018,pinkwellies79,Mrtompayne,2
mens-health-week-2018,coolmentoring,SpunOut,2
dementia-action-week-2018,cerishodgkison,MidCheshireNHS,2
no-smoking-day-2018,nhsleicester,myvisionmatters,2
time-to-talk-day-2018,heleny50,TimetoChange,1
stress-awareness-day,waahteam,mentalhealth,2
dementia-action-week-2018,wrx_labour,DementiaFriends,1
brain-awareness-week-2018,dana_fdn,pintofscience,1
epilepsy-awareness-purple-day-2018,dstampfly,GKTWVillage,2
nutrition-and-hydration-week-2018,groganmandy,JJeffcoatDCHS,1
rare-disease-day-2018,can2biz,AlexisBortell,2
no-smoking-day-2018,colum78,Jacvapour,2
ovarian-cancer-awareness-month-2018,tracey_woodward,ASTRAZENECAUK,2
time-to-talk-day-2018,drwigfall,Zoella,1
wear-purple-for-jia-2018,simont65,harryt68,2
national-dyslexia-week-2018,cathygmit,MadeByDyslexia,2
wear-purple-for-jia-2018,nras_uk,Ed_Miliband,2
no-smoking-day-2018,michaela_toms,LancashireCare,2
brain-awareness-week-2018,asamiaomame,Bournemouth_Psy,1
experience-of-care-week-2018,nobismhealth,BerylInstitute,1
dry-january-2018,donna_46,31DOVER,2
brain-awareness-week-2018,eduardo32356827,brianmaycom,2
brain-injury-week-2018,ashtonsfamily,JanetteWand,2
eating-disorder-awareness-week-2018,drwrjones,nchawkes,2
cervical-cancer-prevention-week-2018,,JoTrust,1
eating-disorder-awareness-week-2018,scousepie,ilonacatherine,2
stress-awareness-day,mrbenvirgo,NHMFOfficial,2
stress-awareness-day,ywimbleton,NHSEnglandLDN,2
national-dementia-carers-2018,rawbubbles9,CareQualityComm,2
elf-day,alzsocswengland,BristolDWS,1
dementia-action-week-2018,louisevennells,ARUKnews,1
jeans-for-genes-day,gwiazdeczka6666,JeansforGenes,1
nutrition-and-hydration-week-2018,fishhydration,eileenobrien103,1
elf-day,ybreevaart67_63,NisaRetail,2
experience-of-care-week-2018,jessica_mshs,MtSinaiQueens,3
nutrition-and-hydration-week-2018,cwmtafdietetics,CwmTaf,1
stress-awareness-day,joannakingstond,JacksonLeesLaw,2
brain-injury-week-2018,rob_beazley,RWK_PersInjury,4
time-to-talk-day-2018,xscoutie,The_UnSilent_,2
wear-purple-for-jia-2018,diederikdecock,BCRD_Study,1
time-to-talk-day-2018,josie_kate_92,prtchampshire,1
national-dyslexia-week-2018,crispriestley,WaterstonesO2,1
no-smoking-day-2018,sharonwecch,SmokfreeNorfolk,2
nutrition-and-hydration-week-2018,mynameisandyj,LDPartnership,2
ovarian-cancer-awareness-month-2018,mysweetzepol,SBellasWays,2
nutrition-and-hydration-week-2018,marialeveridge,CwmTaf,1
ocd-awareness-week-2018,tamsinmaru,OCDUK,2
eating-disorder-awareness-week-2018,kkindredspiritt,YoungMindsUK,2
cervical-cancer-prevention-week-2018,ukcharitytues,eveappeal,2
rare-disease-day-2018,saraemole,Batten_PSDL,1
eating-disorder-awareness-week-2018,josiejo_t,AngelaGreslow,1
no-smoking-day-2018,sam_tumblin,ContempraINN,2
jeans-for-genes-day,zxuisnoise,MrsAnneTwist,2
nutrition-and-hydration-week-2018,mynameisandyj,Catrin193,2
mens-health-week-2018,bon_prot,CDCSTD,2
nutrition-and-hydration-week-2018,mynameisandyj,ChrissieAmin,2
experience-of-care-week-2018,wedood_uhp,clairejukesy,1
mnd-awareness-month-2018,sussexmnd,MNDAEastSussex,2
ovarian-cancer-awareness-month-2018,kristatonn,RobinSCohen,1
national-dyslexia-week-2018,fayly_vintage,272BookFaith,2
eating-disorder-awareness-week-2018,thewitt44,labourgeorgia,1
stress-awareness-day,usciencesshac,heads_together,2
ocd-awareness-week-2018,miggea,lwbean,2
jeans-for-genes-day,igm_ncl,JeansforGenes,1
ovarian-cancer-awareness-month-2018,gettingfitfab,christystucker,2
elf-day,cumbriasellseek,TheosTaxis,2
brain-injury-week-2018,lblawpi,LBLawPI,1
elf-day,alzsocseengland,alzheimerssoc,1
national-dyslexia-week-2018,rashbrj,LancsHospitals,1
elf-day,jayalle78034329,ReallyEW,2
jeans-for-genes-day,babyearshs,MrsAnneTwist,2
mnd-awareness-month-2018,petersutton81,QSPrivateHealth,4
wear-purple-for-jia-2018,ruthwyllie1,kccakes_KPegg,2
time-to-talk-day-2018,promderby2,PochatTraining,6
national-dyslexia-week-2018,bossgmb,NellAndrewLDN,2
mens-health-week-2018,margaret_joseph,SeriousImpactUK,2
jeans-for-genes-day,loginfach,JeansforGenes,1
national-dementia-carers-2018,vamostheatre,alzheimerssoc,2
brain-injury-week-2018,clin_neg,NovumLaw,1
brain-injury-week-2018,ashtonsfamily,AshtonsLegal,1
16-days-of-action-2018,berenicecaamal2,almeyda64,2
cervical-cancer-prevention-week-2018,pattilestrange1,AmericanCancer,1
elf-day,nursekerrianne,nurse_ant,2
ocd-awareness-week-2018,buperduper,lwbean,2
wear-purple-for-jia-2018,topmarknorwich,GarethYassin,1
stress-awareness-day,muppet1221,escfromreality,2
wear-purple-for-jia-2018,nwacpsg,ArthritisRUK,1
brain-injury-week-2018,harrietbrooks89,HyphenLaw,2
eating-disorder-awareness-week-2018,nathan_ridley_,Fabienne_07,1
16-days-of-action-2018,everydayprevent,lynseyjfenners,2
brain-injury-week-2018,woodyonemanband,HeadwayUK,1
elf-day,brewbearuk,BrewBearUK,4
brain-awareness-week-2018,drlynnekenney,braininsights,2
experience-of-care-week-2018,sathnhs,JulesLewis6,2
experience-of-care-week-2018,azalliancechcs,NOAHHELPS,2
stress-awareness-day,elained32375493,mentalhealth,2
time-to-talk-day-2018,susanmaycock,KNHKirklees,2
brain-injury-week-2018,harrietbrooks89,NovumLaw,3
epilepsy-awareness-purple-day-2018,dcd728,JennieJacques1,1
dry-january-2018,saintdusty,urbano32chester,1
jeans-for-genes-day,dazza70smith,JeansforGenes,4
brain-awareness-week-2018,oficialcucs,edu_neuro,2
jeans-for-genes-day,anna_11th,MrsAnneTwist,2
elf-day,rachiemelbo,jacksju1,1
experience-of-care-week-2018,nobismhealth,sasanof,2
ovarian-cancer-awareness-month-2018,eatonrifles1,WomensHealthMag,1
cervical-cancer-prevention-week-2018,forwardeveryone,ade_lewa,2
elf-day,gardeningabs,thesovrangroup,2
brain-awareness-week-2018,comunitaqueenit,MercuryMOTG,1
jeans-for-genes-day,sucksniallers,JeansforGenes,1
epilepsy-awareness-purple-day-2018,ncrealtime,GarnerPRCR,2
epilepsy-awareness-purple-day-2018,nemusan39,gblagden,2
elf-day,theoaks28,alzheimerssoc,1
wear-purple-for-jia-2018,bedazzle83,BCRD_Study,2
mnd-awareness-month-2018,lenabyrne,jampips,2
nutrition-and-hydration-week-2018,earleytracy,LthtrDietitians,2
rare-disease-day-2018,mediccaptfm,RVAwonk,2
no-smoking-day-2018,thebecsoc,PHBucks,2
epilepsy-awareness-purple-day-2018,eileenross_20,OntarioNDP,2
